"2005/078/1/107","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Crocodiles, River Juba","Crocodiles on a beach by the River Juba with trees behind them

Original manuscript caption: Crocs enjoying sun. R. Juba","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-107[v2].tif","[Copyright] Bristol Record Office","205229"
"2005/078/1/108","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Crocodiles sleeping on mud bank","Very distant view of crocodiles taken across the River Juba.

Original manuscript caption: Crocodiles sleeping on mud bank. R. Juba","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-108[v2].tif","[Copyright] Bristol Record Office","205230"
"2005/078/1/109","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Police lines","View of a parade ground with one storey building behind.

Original manuscript caption: Snap of Police lines","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-109[v2].tif","[Copyright] Bristol Record Office","205231"
"2005/078/1/11","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Farm labourers planting trees","African men planting trees in a field

Original manuscript caption: Shamba boys planting trees","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-11[v2].tif","[Copyright] Bristol Record Office","204483"
"2005/078/1/110","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","H.M.S. Forte in Kismayu Harbour","Picture of a ship on water

Original manuscript caption: H.M.Forte in Kismayu harbour","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-110[v2].tif","[Copyright] Bristol Record Office","205232"
"2005/078/1/111","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Police lines","Low buildings at edge of parade ground with uniformed figures in background.

Original manuscript caption: Police lines","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-111[v2].tif","[Copyright] Bristol Record Office","205233"
"2005/078/1/112","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Police lines","View of low buildings around parade ground.

Original manuscript pcation: Police lines","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-112[v2].tif","[Copyright] Bristol Record Office","205234"
"2005/078/1/113","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Crocodiles on River Juba","Very distant view of crocodiles taken across water

Original manuscript caption: Crocs on R. Juba","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-113[v2].tif","[Copyright] Bristol Record Office","205235"
"2005/078/1/114","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","The Beach, Kismayu","View of beach and sea along the Somali coast.

Original manuscript caption: The Beach, Kismayu","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-114[v2].tif","[Copyright] Bristol Record Office","205236"
"2005/078/1/115","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","River steamer in Kismayu Harbour","Distant view of steamer taken across water.

Original manuscript caption: The river steamer in harbour","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-115[v2].tif","[Copyright] Bristol Record Office","205237"
"2005/078/1/116","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","River Juba","Shot of River Juba fringed with trees

Original manuscript caption: River Snap","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-116[v2].tif","[Copyright] Bristol Record Office","205238"
"2005/078/1/117","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somalis washing in river at Afinadu","Two Somali men washing in the river

Original manuscript caption: Somalis washing at Afinadu","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-117[v2].tif","[Copyright] Bristol Record Office","205239"
"2005/078/1/118","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Portrait of Somali man","Portrait of a Somali man standing on a beach

Original manuscript caption: A Somali","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-118[v2].tif","[Copyright] Bristol Record Office","205240"
"2005/078/1/119","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Canoe transport on the River Juba","View of figures loading cargo onto a dug out canoe at the edge of a river. On the canoe is a canopy, with the caption suggesting Elliott travels in luxury.

Original manuscript caption: The way I travel on the Juba river","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-119[v2].tif","[Copyright] Bristol Record Office","205241"
"2005/078/1/12","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Kismayu doctor","Front view of man standing on steps

Original manuscript caption: Kismayu doctor","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-12[V2].tif","[Copyright] Bristol Record Office","204484"
"2005/078/1/120","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Transport along the River Juba","View of figures on a barge being towed by a boat.

Original manuscript caption: The way my police travel on the Juba","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-120[v2].tif","[Copyright] Bristol Record Office","205242"
"2005/078/1/121","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Prospective police recruit","Somali man leaning on a stick with grass hut behind.

Original manuscript caption: Somali who wants to join the police","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-121[v2].tif","[Copyright] Bristol Record Office","205243"
"2005/078/1/122","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Morning room and gramophone","Whitewashed room with canopies and a table on which rests a huge horned gramophone

Original manuscript caption: My Morning room & gramophone","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-122[v2].tif","[Copyright] Bristol Record Office","205244"
"2005/078/1/123","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Dining room","Corner of a room with dining table and standard lamp

Original manuscript caption: My dining room","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-123[v2].tif","[Copyright] Bristol Record Office","205245"
"2005/078/1/124","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Jubaland staff and settlers","Posed group portrait with dog inside house.

Original manuscript caption: Juberland Staff & settlers. Heywood, Salkeld, Grimshaw, Riegr (x), Mrs.Salkeld, Dr. Lumb, Argyroupoule (x). x= settlers.","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-124[v2].tif","[Copyright] Bristol Record Office","205246"
"2005/078/1/125","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Elliott's house","Exterior view of whitewashed house with palm fronds.

Original manuscript caption: The front of my house","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-125[v2].tif","[Copyright] Bristol Record Office","205248"
"2005/078/1/126","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Wa Boni village","View of round huts with Somalian villagers and a European man standing  in front of them.

Original manuscript caption: Wa Boni huts. A native river village","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-126[v2].tif","[Copyright] Bristol Record Office","205249"
"2005/078/1/127","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Christmas lunch","Five European men seated at an al fresco dining table under trees with servant standing behind.

Original manuscript caption: Xmas lunch","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-127[v2].tif","[Copyright] Bristol Record Office","205250"
"2005/078/1/128","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Kismayu Club","Three men seated in clubhouse with standing servant. Hunting trophies adorn the walls.

Original manuscript caption: Kismayu Club","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-128[v2].tif","[Copyright] Bristol Record Office","205251"
"2005/078/1/129","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Entrance Hall","View of square room with table, presumably in Elliott's house.

Original manuscript caption: Entrance Hall","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-129[v2].tif","[Copyright] Bristol Record Office","205252"
"2005/078/1/13","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Kismayu doctor","Profile view of man standing on steps

Original manuscript caption: Kismayu doctor","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-13[V2].tif","[Copyright] Bristol Record Office","204485"
"2005/078/1/130","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Study","Corner of room with table, rug and ornate wall hangings.

Original manuscript caption: My Study","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-130[v2].tif","[Copyright] Bristol Record Office","205253"
"2005/078/1/131","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Group of Somali women","Group of three Somali women wearing headscarves and carrying pots.

Original manuscript caption: Somali Ladies","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-131[v2].tif","[Copyright] Bristol Record Office","205254"
"2005/078/1/132","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Colonial officials, Jubaland","Group of European men posing on the steps of the Jubaland Club with a dog.

Original manuscript caption: Juberland Officials","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-132[v2].tif","[Copyright] Bristol Record Office","205255"
"2005/078/1/133","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somali bush country","Picture of thorn bushes

Original manuscript caption: The way we fortify ourselves when on safari in Somali country","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-133[v2].tif","[Copyright] Bristol Record Office","205256"
"2005/078/1/134","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","River with shot of steamer","View of the river [Juba] with the funnel of a steamer visible over the bank.

Original manuscript caption: River Snap with top of River Steamer","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-134[v2].tif","[Copyright] Bristol Record Office","205257"
"2005/078/1/135","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","View of H.M.S. Forte","View of H.M.S. Forte across the water with two European men standing in the foreground.

Original manuscript caption: Snapping H.M.S. Forte from the tender","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-135[v2].tif","[Copyright] Bristol Record Office","205258"
"2005/078/1/136","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Barge towed by steamer, River Juba","Group of African men on a barge with towing rope, River Juba. 

Original manuscript caption: A pretty bend of the Juba.  Barge towed behind steamer.","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-136[v2].tif","[Copyright] Bristol Record Office","205259"
"2005/078/1/137","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Section 3, Jubaland Police","Line of police troops on parade

Original manuscript caption: Section 3 Juberland","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-137[v2].tif","[Copyright] Bristol Record Office","205260"
"2005/078/1/138","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Section 3, Jubaland Police","Line of police troops on parade

Original manuscript caption: Section 3 Juberland","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-138[v2].tif","[Copyright] Bristol Record Office","205261"
"2005/078/1/139","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Kismayu from across the water","Distant view of buildings taken across water from a ship.

Original manuscript caption: Kismayu","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-139[v2].tif","[Copyright] Bristol Record Office","205262"
"2005/078/1/14","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","View of Nairobi","Distant view of town with trees in foreground

Original manuscript caption: View of Nairobi","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-14[V2].tif","[Copyright] Bristol Record Office","204486"
"2005/078/1/140","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Yonte from the river","House set in trees, photographed from the water

Original manuscript caption: Yonte from the River","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-140[v2].tif","[Copyright] Bristol Record Office","205263"
"2005/078/1/141","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Police troops with camels","Group of Somali men, some of them in Police uniform, loading camels

Original manuscript caption: Loading up my grub","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-141[v2].tif","[Copyright] Bristol Record Office","205264"
"2005/078/1/142","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Police with Ogaden chief","Group shot of Somali men armed with spears, flanked by a group of police troops.

Original manuscript caption: Police & Ogaden chief","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-142[v2].tif","[Copyright] Bristol Record Office","205265"
"2005/078/1/143","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Police troops with camels","Group of Somali men, some of them in Police uniform, loading camels in a clearing

Original manuscript caption: Loading up ready for next march","c. 1910","1 photograph","1 b/w photograph glued into album, slightly faded","BEC 2005-078-1-143[v2].tif","[Copyright] Bristol Record Office","205266"
"2005/078/1/144","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Group at Afinadu","Group shot of Somali men armed with spears, flanked by a group of police troops.

Original manuscript caption: @ Afinadu","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-144[v2].tif","[Copyright] Bristol Record Office","205267"
"2005/078/1/145","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Elliott's verandah","Elliot seated among palm fronds, behind a signalling lamp.

Original manuscript caption: My verandah","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-145[v2].tif","[Copyright] Bristol Record Office","205268"
"2005/078/1/146","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Elliott's verandah","Elliot seated among palm fronds, behind a signalling lamp.

Original manuscript caption: Quick ? [blurred] in foreground. Signalling lamp behind","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-146[v2].tif","[Copyright] Bristol Record Office","205269"
"2005/078/1/147","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","View of Kismayu","View of one storey buildings and thatched shelters stretching into the distance

Original manuscript caption: Long view of Kismayu (right)","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-147[v2].tif","[Copyright] Bristol Record Office","205270"
"2005/078/1/148","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","View of Kismayu","View of buildings stretching into the distance towards the sea

Original manuscript caption: Long view of Kismayu (left)","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-148[v2].tif","[Copyright] Bristol Record Office","205271"
"2005/078/1/149","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Street in Lamu","View of street with thatched huts and palm trees

Original manuscript caption: Street in Lamu","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-149[v2].tif","[Copyright] Bristol Record Office","205272"
"2005/078/1/15","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somali police recruits","Police troops lined up for inspection

Original manuscript caption: My Somali recruits","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-15[V2].tif","[Copyright] Bristol Record Office","204487"
"2005/078/1/150","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Lamu well","A backstreet well with figures collecting water

Original manuscript caption: Lamu well","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-150[v2].tif","[Copyright] Bristol Record Office","205273"
"2005/078/1/151","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Wa Boni hunters","Group of African men standing among trees

Original manuscript caption: Wa Boni hunters","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-151[v2].tif","[Copyright] Bristol Record Office","205274"
"2005/078/1/152","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Exercise in the bush","A man stabbing at a tree with a spear

Original manuscript caption: Exercise in the Bush","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-152.tif","[Copyright] Bristol Record Office","205275"
"2005/078/1/153","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","An Ogaden chief and his bodyguard","A group of men armed with spears surround a seated elder. A distant policeman can be seen in the background.

Original manuscript caption: An Ogaden chief & his bodyguard. Police sentry in background over Zareba entrance","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-153[v2].tif","[Copyright] Bristol Record Office","205276"
"2005/078/1/154","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Group of Somali children","A group of Somali children pose under a tree

Original manuscript caption: Some future dervishes of the Mad Mullah","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-154[v2].tif","[Copyright] Bristol Record Office","205277"
"2005/078/1/155","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Aulikan Ogaden chief and bodyguard","Row of men standing in front of a low building

Original manuscript caption: Aulikan Ogaden chief & bodyguard (Chief in Turban)","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-155[v2].tif","[Copyright] Bristol Record Office","205278"
"2005/078/1/156","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","View of the river","View of trees from across a river

Original manuscript caption: river","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-156[v2].tif","[Copyright] Bristol Record Office","205279"
"2005/078/1/157","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Ogaden Chief and his bodyguard","Group of Somali men with buildings behind

Original manuscript caption: Chief is man in turban","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-157[v2].tif","[Copyright] Bristol Record Office","205280"
"2005/078/1/158","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Ogaden Chief and his bodyguard","Row of men standing in front of a building

Original manuscript caption: Ogaden Chief & his bodyguard","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-158[v2].tif","[Copyright] Bristol Record Office","205281"
"2005/078/1/159","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Crowded boat on tow rope","Crowded boat on tow rope, possibly containing Somali police troops","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-159[v2].tif","[Copyright] Bristol Record Office","205282"
"2005/078/1/16","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Mombasa Police","Rear view of line of police troops

Original manuscript caption: Mombasa Police","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-16[V2].tif","[Copyright] Bristol Record Office","204488"
"2005/078/1/160","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","View of steamer across the water","View of steamer taken from another boat","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-160[v2].tif","[Copyright] Bristol Record Office","205283"
"2005/078/1/161","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Elliott's orderly","A Somali man in uniform posing with buildings behind him

Original manuscript caption: One of my orderlys","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-161[v2].tif","[Copyright] Bristol Record Office","205284"
"2005/078/1/162","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Two Somali policemen","One tall and one short man pose in police uniform in front of a thatched building

Original manuscript caption: Long & short of Section No 3","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-162[v2].tif","[Copyright] Bristol Record Office","205285"
"2005/078/1/163","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Colour Sergt. Of No 3 Section","Man standing with rifle in front of thatched building

Original manuscript caption: Colour Sergt. Of No 3 Section","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-163[v2].tif","[Copyright] Bristol Record Office","205286"
"2005/078/1/164","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Wooden screen","Shot of a wooden screen, possibly inside Somali Police building","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-164.tif","[Copyright] Bristol Record Office","205287"
"2005/078/1/165","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Arrival of H.E. the Italian Governor","Man walking through a crowd of people, some in tribal dress and some in uniform

Original manuscript caption: Arrival of H.E. the Italian Governor","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-165.tif","[Copyright] Bristol Record Office","205288"
"2005/078/1/166","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Arrival of H.E. the Italian Governor","Man walking through a crowd of people, some in tribal dress and some in uniform

Original manuscript caption: Arrival of H.E. the Italian Governor","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-166.tif","[Copyright] Bristol Record Office","205289"
"2005/078/1/167","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Arrival of H.E. the Italian Governor","Assembled crowds await the Governor, some men in tribal dress carrying spears

Original manuscript caption: Arrival of H.E. the Italian Governor","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-167.tif","[Copyright] Bristol Record Office","205290"
"2005/078/1/168","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Arrival of H.E. the Italian Governor","Man with sword in foreground, massed crowds beyond

Original manuscript caption: Arrival of H.E. the Italian Governor","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-168.tif","[Copyright] Bristol Record Office","205291"
"2005/078/1/169","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Lamu ruins","Faded shot of crumbling buildings

Original manuscript caption: Lamu ruins","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-169.tif","[Copyright] Bristol Record Office","205292"
"2005/078/1/17","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Mombasa Club","Entrance to building. Path lined with palm trees

Original manuscript caption: Mombasa Club","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-17[V2].tif","[Copyright] Bristol Record Office","204489"
"2005/078/1/170","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","View of Lamu","Faded long shot of Lamu and waterfront

Original manuscript caption: View of Lamu","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-170.tif","[Copyright] Bristol Record Office","205293"
"2005/078/1/171","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Boat building","Boats being constructed on a beach, probably Lamu

Original manuscript caption: boat building","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-171.tif","[Copyright] Bristol Record Office","205294"
"2005/078/1/172","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Section 3, Jubaland Police","Posed group shot of Section 3, Jubaland Police

Original manuscript caption: Section 3 Jubaland","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-172.tif","[Copyright] Bristol Record Office","205295"
"2005/078/1/173","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Section 3, Jubaland Police","Posed group shot of Section 3, Jubaland Police

Original manuscript caption: Section 3 Jubaland","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-173.tif","[Copyright] Bristol Record Office","205296"
"2005/078/1/174","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Section 3, Jubaland Police","Posed group shot of Section 3, Jubaland Police

Original manuscript caption: Section 3","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-174.tif","[Copyright] Bristol Record Office","205297"
"2005/078/1/175","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Colonial officials, Jubaland","Posed group of European men

Original manuscript caption: Juberland Officials","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-175.tif","[Copyright] Bristol Record Office","205298"
