"Object Number","Collection Name","Geographic Name","Geographic Name","Geographic Name","Geographic Name","Geographic Name","Geographic Name","Geographic Name","Geographic Name","Geographic Name","Geographic Name","Level","Full Name","Scope And Content","Date","Extent","Physical/Technical","Multimedia name","Copyright","Multimedia irn"
"2001/090/1/1/10113","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Baby at the Russels' house","A baby sitting on a patterned rug is captivated by a furry toy dog at the Russels' family house.","4 September 1955","1 negative","default","638.tif","[Copyright] Bristol Record Office",121098
"2001/090/1/1/10115","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Baby at the Russels' house","A baby sitting on a patterned rug at the Russel's family house looks expectantly upwards.","4 September 1955","1 negative","default","639.tif","[Copyright] Bristol Record Office",121099
"2001/090/1/1/10135","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Miss Russel walks on stilts","The Russels' daughter attempts to walk on wooden stilts in the family garden, much to the amusement of onlooking family and friends.","4 September 1955","1 negative","default","640.tif","[Copyright] Bristol Record Office",117526
"2001/090/1/1/10150","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Milking the Bernards' cows","Five Jersey cows belonging to the Bernard family line up in stalls ready for milking. An African worker in an apron stands beside them, milking equipment in hand.","4 September 1955","1 negative","default","641.tif","[Copyright] Bristol Record Office",117541
"2001/090/1/1/10151","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","The Bernards' Jersey cow","An African man displays a pedigree Jersey cow belonging to the Bernard family.","4 September 1955","1 negative","default","642.tif","[Copyright] Bristol Record Office",114983
"2001/090/1/1/10156","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","John Downey's cow","An African man displays a spotted cow belonging to John Downey.","4 September 1955","1 negative","default","643.tif","[Copyright] Bristol Record Office",118822
"2001/090/1/1/10170","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Road under construction","A lone man in a steamroller on the construction site of a new road.","5 September 1955","1 negative","default","644.tif","[Copyright] Bristol Record Office",115844
"2001/090/1/1/10187","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Milkmaid feeds a calf","An African milkmaid feeds a calf belonging to Colin Campbell from a bucket in a grassy field.","September 1955","1 negative","default","613.tif","[Copyright] Bristol Record Office",117540
"2001/090/1/1/10204","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Mrs Archer pilots a speedboat","Mrs Archer scuds across a lake in a small speedboat during a race at the aquasports club meeting. Nairobi.","10 September 1955","1 negative","default","626.tif","[Copyright] Bristol Record Office",117385
"2001/090/1/1/10209","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Aquasports club meeting","Ron Richardson scuds across a lake in a small 'Zipp' speedboat during a race at the aquasports club meeting. Nairobi.","10 September 1955","1 negative","default","625.tif","[Copyright] Bristol Record Office",113833
"2001/090/1/1/10234","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Swimming gala","A man in a suit, labelled as a 'clown', is helped out of a swimming pool by three others wearing swimwear at a swimming gala social.","17 September 1955","1 negative","default","645.tif","[Copyright] Bristol Record Office",115113
"2001/090/1/1/10259","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Crazy diving","A man wearing trunks at a swimming gala launches himself into the air from a diving board, striking a pose as he descends. A crowd of onlookers watch the spectacle from a large colonial-style building.","17 September 1955","1 negative","default","646.tif","[Copyright] Bristol Record Office",120177
"2001/090/1/1/10276","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Harold Gill's cow","An African man displays a spotted dairy cow belonging to Harold Gill. Nairobi.","18 September 1955","1 negative","default","624.tif","[Copyright] Bristol Record Office",119228
"2001/090/1/1/10365","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Portrait of the Markhams","Portrait of the Markhams pictured at the National Economy Run, a notable racing event.","25 September 1955","1 negative","default","662.tif","[Copyright] Bristol Record Office",114714
"2001/090/1/1/10382","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Milling machines at the Nairobi Royal Show","Two Indian men demonstrate milling machines at the G & R stand at the Royal Show. Nairobi.","28 September - 1 October 1955","1 negative","default","623.tif","[Copyright] Bristol Record Office",117533
"2001/090/1/1/10398","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","GEC at the Nairobi Royal Show","Household appliances including ovens and washing machines exhibited at the General Electric Company's (GEC) stand at the Royal Show. Nairobi.","28 September - 1 October 1955","1 negative","default","622.tif","[Copyright] Bristol Record Office",119415
"2001/090/1/1/10417","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Cooper Motor Corporation at the Nairobi Royal Show","A group of European men chat beside the bare chassis of a car at the Cooper Motor Corporation stand at the Royal Show. Nairobi.","28 September - 1 October 1955","1 negative","default","621.tif","[Copyright] Bristol Record Office",120218
"2001/090/1/1/10441","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Kimbo at the Nairobi Royal Show","A stall displaying Kimbo cooking fat products at the Royal Show. Nairobi.","28 September - 1 October 1955","1 negative","default","620.tif","[Copyright] Bristol Record Office",118679
"2001/090/1/1/10461","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Knorr-Swiss stand at the Nairobi Royal Show","A European woman samples a cup of soup from a Knorr-Swiss stall at the Royal Show. Nairobi.","28 September - 1 October 1955","1 negative","default","619.tif","[Copyright] Bristol Record Office",118611
"2001/090/1/1/10464","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Knorr-Swiss stand at the Nairobi Royal Show","A group of African women congregate around a Knorr-Swiss stall at the Royal Show. A cut-out sign above them shows the cartoon of a smiling man drinking Knorr-Swiss clear soup. Nairobi.","28 September - 1 October 1955","1 negative","default","618.tif","[Copyright] Bristol Record Office",118612
"2001/090/1/1/10479","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Regent stand at the Nairobi Royal Show","The novel exterior of the Regent outfitters stand at the Royal Show. The Regent logo appears above the doorway and female customers can be seen browsing clothes through the circular windows. Nairobi.","28 September - 1 October 1955","1 negative","default","617.tif","[Copyright] Bristol Record Office",115975
"2001/090/1/1/10515","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Coats and Clark at the Nairobi Royal Show","A young African schoolgirl receives a flower arrangement as a prize from a European woman on the Coats and Clark stand at the Royal Show.","28 September - 1 October 1955","1 negative","default","663.tif","[Copyright] Bristol Record Office",120309
"2001/090/1/1/10522","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Motor Sports Club stand at the Nairobi Royal Show","A multiracial crowd gathers around a detailed miniature road model at the Motor Sports Club stand at the Royal Show. An European man holds a steering wheel and appears to be controlling the movement of the model cars. Nairobi.","28 September - 1 October 1955","1 negative","default","616.tif","[Copyright] Bristol Record Office",119931
"2001/090/1/1/10523","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Driving game at the Nairobi Royal Show","A multiracial crowd gathers around a detailed miniature road model at the Motor Sports Club stand at the Royal Show. An African woman holds a steering wheel and appears to be controlling the movement of the model cars. Nairobi.","28 September - 1 October 1955","1 negative","default","615.tif","[Copyright] Bristol Record Office",119932
"2001/090/1/1/10682","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Fashion shoot for Regent Outfitters","Publicity shot for Regent outfitters. Fashion model Ino poses for the camera in the centre of town wearing a Regent outfit. She carries a handbag in one hand and holds a revolver in the other.","14 October 1955","1 negative","default","614.tif","[Copyright] Bristol Record Office",119678
"2001/090/1/1/10685","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Fashion shoot for Regent Outfitters","Publicity shot for Regent outfitters. Fashion model Ino poses for the camera in the centre of town wearing a Regent outfit.","14 October 1955","1 negative","default","632.tif","[Copyright] Bristol Record Office",117515
"2001/090/1/1/10690","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Fashion shoot for Regent Outfitters","Publicity shot for Regent outfitters. Fashion model Ino poses for the camera, considering a nightdress offered to her by a shop assistant in a clothing store.","14 October 1955","1 negative","default","627.tif","[Copyright] Bristol Record Office",119986
"2001/090/1/1/10704","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Sue and John Paton","Sue and John Paton relax, leaning back against their MG car in the evening sunlight. She wears a wrapover top and embroidered Chinese-style slippers; he wears a cravat.","24 October 1955","1 negative","default","664.tif","[Copyright] Bristol Record Office",115161
"2001/090/1/1/10707","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Sue Paton in her MG","Sue Paton smiles from the driver's seat of her MG car, her elbow resting on the open window.","24 October 1955","1 negative","default","665.tif","[Copyright] Bristol Record Office",115160
"2001/090/1/1/10747","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Daphne Dale and Nicholas Polajenko","Dancers Daphne Dale and Nicholas Polajenko, wearing theatrical costume and make up, pause for a moment during a ballet routine.","28 October 1955","1 negative","default","631.tif","[Copyright] Bristol Record Office",120105
"2001/090/1/1/10749","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Daphne Dale and Nicholas Polajenko","Dancers Daphne Dale and Nicholas Polajenko, wearing theatrical costume and make up, strike a pose during a ballet routine.","28 October 1955","1 negative","default","630.tif","[Copyright] Bristol Record Office",120104
"2001/090/1/1/10751","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Daphne Dale and Nicholas Polajenko","Dancers Daphne Dale and Nicholas Polajenko in mid-performance, wearing traditional ballet costumes.","28 October 1955","1 negative","default","629.tif","[Copyright] Bristol Record Office",120106
"2001/090/1/1/10755","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Nicholas Polajenko and Daphne Dale","Dancer Nicholas Polajenko lifts Daphne Dale during a ballet routine. Both dancers wear traditional ballet costumes.","28 October 1955","1 negative","default","628.tif","[Copyright] Bristol Record Office",117272
"2001/090/1/1/10887","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Sonja in Japanese costume","Sonja poses wearing theatrical costume comprising a tutu and ballet shoes teamed with a Japanese-style top. Her blonde hair is tucked under a dark Geisha-style wig and her oriental look is completed with theatrical make up and a decorative fan.","4 November 1955","1 negative","default","666.tif","[Copyright] Bristol Record Office",115430
"2001/090/1/1/10888","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Sonja in Japanese costume","Sonja poses wearing theatrical costume comprising a tutu and ballet shoes teamed with a Japanese-style top. Her blonde hair is tucked under a dark Geisha-style wig and her oriental look is completed with theatrical make up and a decorative fan.","4 November 1955","1 negative","default","667.tif","[Copyright] Bristol Record Office",115431
"2001/090/1/1/10893","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Sonja in Japanese costume","Sonja poses wearing theatrical costume comprising a tutu and ballet shoes teamed with a Japanese-style top. Her blonde hair is tucked under a dark Geisha-style wig and her oriental look is completed with theatrical make up.","4 November 1955","1 negative","default","668.tif","[Copyright] Bristol Record Office",115429
"2001/090/1/1/10895","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Sonja in Japanese costume","Sonja poses wearing theatrical costume comprising a tutu and ballet shoes teamed with a Japanese-style top. Her blonde hair is tucked under a dark Geisha-style wig and her oriental look is completed with theatrical make up and a decorative fan.","4 November 1955","1 negative","default","669.tif","[Copyright] Bristol Record Office",115432
"2001/090/1/1/10907","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","June Watkin signs the register","Bride June Watkin signs the marriage register in the presence of her new husband at their wedding ceremony. An African priest can be seen in the background.","5 November 1955","1 negative","default","670.tif","[Copyright] Bristol Record Office",118799
"2001/090/1/1/10913","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","June Watkin's wedding","A wedding party leaves the church, the procession headed by bride June Watkin and her new husband.","5 November 1955","1 negative","default","671.tif","[Copyright] Bristol Record Office",118798
"2001/090/1/1/10955","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Crop spraying sugar cane, Miwani Sugar Mills","African workers employed by the Miwani Sugar Mills spray a sugar cane crop with pesticide from containers strapped to their backs. Miwani.","7-8 November 1955","1 negative","default","672.tif","[Copyright] Bristol Record Office",120172
"2001/090/1/1/10966","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Siphoning sugar cane, Miwani Sugar Mills","An African worker siphons water from a ditch on a sugar cane plantation owned by the Miwani Sugar Mills. Miwani.","7-8 November 1955","1 negative","default","673.tif","[Copyright] Bristol Record Office",115551
"2001/090/1/1/10969","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","High yield sugar cane crop, Miwani Sugar Mills","A man in a suit examines a crop of high yield sugar cane at a plantation owned by the Miwani Sugar Mills. Miwani.","7-8 November 1955","1 negative","default","674.tif","[Copyright] Bristol Record Office",119179
"2001/090/1/1/10971","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Harvesting sugar cane, Miwani Sugar Mills","African workers cut and harvest sugar cane on the Miwani Sugar Mills plantation. Miwani.","7-8 November 1955","1 negative","default","675.tif","[Copyright] Bristol Record Office",119218
"2001/090/1/1/10972","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Cutting sugar cane, Miwani Sugar Mills","An African worker cuts sugar cane on the Miwani Sugar Mills plantation. Miwani.","7-8 November 1955","1 negative","default","676.tif","[Copyright] Bristol Record Office",120140
"2001/090/1/1/10975","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Loading sugar cane into freight cars, Miwani Sugar Mills","Four African workers at Miwani Sugar Mills  push a bundle of sugar cane along a raised platform towards a railway freight car waiting to collect it. Miwani.","7-8 November 1955","1 negative","default","596.tif","[Copyright] Bristol Record Office",115086
"2001/090/1/1/10978","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Transporting sugar cane by rail","A small railway engine bound for the Miwani Sugar Mills, pulls a long line of freight cars loaded with sugar cane. Miwani.","7-8 November 1955","1 negative","default","597.tif","[Copyright] Bristol Record Office",115087
"2001/090/1/1/10989","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Testing juice at Miwani Sugar Mills","An African worker dips a testing pot into a trough of juice being processed at the Miwani Sugar Mills. Miwani.","7-8 November 1955","1 negative","default","598.tif","[Copyright] Bristol Record Office",115089
"2001/090/1/1/10994","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Testing samples at Miwani Sugar Mills","An Indian worker tests a sample of sugar from an industrial machine covered in dials and gauges at the Miwani Sugar Mills. Miwani.","7-8 November 1955","1 negative","default","599.tif","[Copyright] Bristol Record Office",115090
"2001/090/1/1/11003","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Sewing sacks in Miwani Sugar Mills","African workers sew rows of sugar sacks closed at the Miwani Sugar Mills. Miwani.","7-8 November 1955","1 negative","default","600.tif","[Copyright] Bristol Record Office",115626
"2001/090/1/1/11013","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Huts for sugar mill labourers, Miwani Sugar Mills","People seek shade under the thatched roofs of a number of round huts at a camp assigned to workers employed by the Miwani Sugar Mills. Miwani.","7-8 November 1955","1 negative","default","601.tif","[Copyright] Bristol Record Office",119066
"2001/090/1/1/11014","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Miwani Sugar Mills school","A row of students in school uniform pose outside a thatched school hut built to educate children of workers at the Miwani Sugar Mills. A sign outside reads: 'Miwani Sugar Mills, Primary School Ltd, Section 2'. Miwani.","7-8 November 1955","1 negative","default","602.tif","[Copyright] Bristol Record Office",117521
"2001/090/1/1/11018","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Daphne Dale in the driving seat","Dancer Daphne Dale smiles from the driver's seat of a car. She wears a spotted scarf and rests her elbow out of the open window.","11 November 1955","1 negative","default","603.tif","[Copyright] Bristol Record Office",120099
"2001/090/1/1/11021","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Daphne Dale fills up with Shell","Promotional shot of Daphne Dale, posing for the camera beside a car at a roadside petrol station. An African workman faces her, holding the hose of a Shell petrol pump.","11 November 1955","1 negative","default","604.tif","[Copyright] Bristol Record Office",120100
"2001/090/1/1/11094","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Daphne Dale as Carmen","Dancer Daphne Dale poses for the camera balancing on one toe. Playing the role of Carmen, she is dressed in theatrical dance costume and wears ballet shoes.","15 November 1955","1 negative","default","605.tif","[Copyright] Bristol Record Office",120101
"2001/090/1/1/11095","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Daphne Dale as Carmen","Dancer Daphne Dale poses for the camera balancing on one toe. Playing the role of Carmen, she is dressed in theatrical dance costume and wears ballet shoes.","15 November 1955","1 negative","default","606.tif","[Copyright] Bristol Record Office",120102
"2001/090/1/1/11098","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Daphne Dale as Carmen","Dancer Daphne Dale poses for the camera balancing on one toe. Playing the role of Carmen, she is dressed in theatrical dance costume and wears ballet shoes.","15 November 1955","1 negative","default","607.tif","[Copyright] Bristol Record Office",120103
"2001/090/1/1/11101","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Profile shot of Daphne Dale","Profile portrait of dancer Daphne Dale in the role of Carmen. Dressed in theatrical costume, she wears a low cut bodice with bare arms and a decorative flower in her hair.","15 November 1955","1 negative","default","608.tif","[Copyright] Bristol Record Office",116199
"2001/090/1/1/11102","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Portrait of Daphne Dale","Dancer Daphne Dale gazes into the camera. Playing the role of Carmen, she is dressed in theatrical costume, sporting a low cut bodice with bare arms and a decorative flower in her hair.","15 November 1955","1 negative","default","609.tif","[Copyright] Bristol Record Office",116371
"2001/090/1/1/11133","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Turkana dancers","Two Turkana men hold hands in the midst of a traditional dance involving both men and women. They wear decorative headbands, a typical feature of Turkana dress.","26 November 1955","1 negative","default","610.tif","[Copyright] Bristol Record Office",114271
"2001/090/1/1/11310","Trotter","Uganda","default","default","default","default","default","default","default","default","default","Item","Tusker beer stand at the Kampala Trade Show","African and European visitors drink from glasses around a table at the Tusker stand at the annual Kampala trade show.","15-18 December 1955","1 negative","default","611.tif","[Copyright] Bristol Record Office",114267
"2001/090/1/1/11327","Trotter","Uganda","default","default","default","default","default","default","default","default","default","Item","Watusi dancers at the Kampala Trade Show","Male Watusi dancers wearing traditional costume and elaborate feathered headdresses, perform a dance for a crowd of African spectators at the Kampala trade show.","15-18 December 1955","1 negative","default","612.tif","[Copyright] Bristol Record Office",113997
"2001/090/1/1/11331","Trotter","Uganda","default","default","default","default","default","default","default","default","default","Item","Watusi dancers at the Kampala Trade Show","Male Watusi dancers wearing traditional costume and elaborate feathered headdresses, are captured mid-jump as they perform a dance for a crowd of African spectators at the Kampala trade show. Kampala.","15-18 December 1955","1 negative","default","595.tif","[Copyright] Bristol Record Office",115084
"2001/090/1/1/17964","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Nakuru Races prizegiving","A young man wearing military uniform and beret shakes hands as he receives an award at Nakuru Races prizegiving ceremony. Nakuru.","15 September 1957","1 negative","default","2626.tif","[Copyright] Bristol Record Office",119234
"2001/090/1/1/17965","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Nakuru Races prizegiving","A man in white overalls shakes hands as he receives an award at Nakuru Races prizegiving ceremony. Nakuru.","15 September 1957","1 negative","default","2627.tif","[Copyright] Bristol Record Office",119235
"2001/090/1/1/18014","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Couple at a Jazz Ball","A young couple dance together at a Jazz Ball. The woman wears a trilby hat, a cigarette hanging from the corner of her mouth.","21 September 1957","1 negative","default","2628.tif","[Copyright] Bristol Record Office",120199
"2001/090/1/1/18021","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Dancing at Jazz Ball","Close up shot of a girl's legs, as she is spun around by her partner during a Jazz Ball dance.","21 September 1957","1 negative","default","2629.tif","[Copyright] Bristol Record Office",115407
"2001/090/1/1/18028","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Dancing at Jazz Ball","A young man dressed in a suit approaches the camera, glass in hand, from across an empty dance floor at a Jazz Ball.","21 September 1957","1 negative","default","2630.tif","[Copyright] Bristol Record Office",116756
"2001/090/1/1/18031","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Jazz Ball singer","A casually dressed singer, supported by a band, clutches an upright microphone as he performs at a Jazz Ball.","21 September 1957","1 negative","default","2631.tif","[Copyright] Bristol Record Office",118837
"2001/090/1/1/18045","Trotter","Kenya","default","default","default","default","default","default","default","default","default","Item","Jazz Ball","Three young men in casual dress joke together over the seemingly accidental fall of a young woman across one of their laps at a Jazz Ball.","21 September 1957","1 negative","default","2632.tif","[Copyright] Bristol Record Office",118838
