Object Number,Department: ,Collection,Named Collection,Simple Name: (Collection Details)/Object Name/Object Name: (Classification),Full Name: (Collection Details),Extent: (ISAD(G) Identity Statement),Physical Description: (Collection Details),Physical/Technical/Physical/ Technical: (Conditions of Access and Use),Extent: (Physical Details)/Extent and Medium: (ISAD(G) Identity Statement),Scope and Content: (Archival Description)/Scope and Content: (Content and Structure),Geographic Name: (Names),Unit Date: (Unit Details)/Date(s): (ISAD(G) Identity Statement),Physical Description: (Physical Details),Place Details: (Production Place),Associated Date: (Content Details)/Production Date: (Production Dates),Site Name: (Code / Name)/Site Name: (Collection Details),Sites: (Subject Details)/Locality: (Locality Details),Place Details: (Production Place duplicate),Main Title: (Title Details)/Title: (Object Details),Artist's Name: (Artist Details),Taxon: (Content Details)/Taxon: (Taxonomic Details),Age: (Specimen)
2003/222/1/1/39,Bristol Record Office,British Empire & Commonwealth,Forster,,General View of Khartoum from the south east,1 postcard,,1 b/w postcard slotted into photograph pocket on page.,,"Printed caption reads: 'General View, Khartoum (South East). Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 97'. View of Khartoum with buildings stretching to the horizon.",Sudan,[c.1906],,,,,,,,,,
2003/222/1/2/39,Bristol Record Office,British Empire & Commonwealth,Forster,,"Birri Pool, near Dem-Zubeir",1 postcard,,1 b/w postcard slotted into photograph pocket on page.,,"Printed caption reads: 'Birri Pool, Near Dem-Zubeir. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 199'. Image of the pool fringed with trees.",Sudan,[c.1906],,,,,,,,,,
2001/291/1/9/10,Bristol Record Office,British Empire & Commonwealth,Lang Brown,,Thinning out the trees at Bugamba,1 slide,,colour,,"A team of Ugandan Forest Rangers, equipped with saws, machetes and axes, thin out a plantation of pine (Pinus patula) saplings in a forest reserve. Bugamba, Ankole, South West Uganda, September 1963. Original caption: Thinning Cpt 2. Bugamba. Later caption: We start thinning Pinus patula in Cpt.2 at Bugamba. This would be about 6 years old.",Uganda,1963,,,,,,,,,,
2001/291/1/9/11,Bristol Record Office,British Empire & Commonwealth,Lang Brown,,Timber Stand Improvement in Kalinzu Forest,1 slide,,colour,,"Two Ugandan Forest Rangers apply herbicide to the trunk of a tree in Kalinzu Forest; a process known as Timber Stand Improvement (TSI) that is designed to cull unwanted, non-timber trees from natural forest regeneration after logging. Ankole, South West Uganda, September 1963. Original caption: Kalinzu Sept '63 F/R Kanyankore supervises a sprayer. Later caption: Kalinzu Forest, Ankole. Nyakarwana supervises the spraying of unwanted - non-timber - trees with ""Finopal"" in diesel oil. This was a blend of 2,4,5-T and 2,4-D. The process, known as ""Timber Stand Improvement"" (TSI), had been perfected in other forests, and I was introducing it to Kalinzu.",Uganda,1963,,,,,,,,,,
2001/291/1/9/12,Bristol Record Office,British Empire & Commonwealth,Lang Brown,,Timber Stand Improvement in Kalinzu Forest,1 slide,,colour,,"Ugandan Forest Rangers fill portable sprayers with herbicide as they prepare to carry out Timber Stand Improvement (TSI) in Kalinzu Forest; a process designed to cull unwanted, non-timber trees from plantations. Ankole, South West Uganda, September 1963. Original caption: Kalinzu Sept '63 TSI team filling sprayers. Later caption: ""TSI"" team filling the sprayers",Uganda,1963,,,,,,,,,,
2001/291/1/9/18,Bristol Record Office,British Empire & Commonwealth,Lang Brown,,Iron forge in Mafuga Forest,1 slide,,colour,,"A forge used by forestry workers to harden the tips of rock drills whilst clearing a track to Mafuga Forest nursery. Kigezi, South West Uganda, September 1963. Original caption: Mafuga 3/63. Forge, Ishsha Valley track. Later caption: To clear the track we used traditional African methods for forging hardened tips on the rock drills. A charcoal fire in the pit was fired by two fired clay pipes and bellows made of a goat-skin tied across two clay pots. The man on the right is pumping the bellows alternately with sticks lashed to the centre of the skins. The white hot tips of the drills were hammered to a chisel edge, reheated and tempered in a battered debbi of water. We felt a real link with the past; the Iron Age had not died out.",Uganda,1963,,,,,,,,,,
2003/071/1/1/3/43,Bristol Record Office,British Empire & Commonwealth,Sitwell,,"'Water mule', India",1 photograph,,"1 sepia photograph, extracted from album and mounted on card",,A man crouches down to take water from a large leather water sack slung across the back of a mule. Original manuscript caption: Water-Mule,India,c. 1900,,,,,,,,,,
2003/071/1/1/2/2,Bristol Record Office,British Empire & Commonwealth,Sitwell,,"General Post Office, Kolkata",1 photograph,,"1 sepia photograph, extracted from album and mounted on card",,View of the General Post Office with Dalhousie Square Tank in the foreground. Original manuscript caption: General Post Office Dalhousie Square Tank in foreground Calcutta,India,c. 1890,,,,,,,,,,
2001/090/1/1/31052,Bristol Record Office,British Empire & Commonwealth,Trotter,,Post Office sports competition medal ceremony,1 negative,,,,A European woman presents African and Asian athletes with medals at the East Africa Posts and Telecommunications Administration sports day,Kenya,29th August 1959,,,,,,,,,,
2017/010/2/25,Bristol Record Office,British Empire & Commonwealth,Chanan,,"Sadhu at the Shiva temple, Thirupparankundram, Madurai",1 print,,1 colour print,,"Caption reads: Sadhu at the Shiva temple, Thirupparankundram, Madurai",India,1994-1999,,,,,,,,,,
2003/222/1/1/62,Bristol Record Office,British Empire & Commonwealth,Forster,,Six uniformed Sudanese soldiers armed with rifles,1 postcard,,1 b/w postcard slotted into photograph pocket on page.,,"Printed caption reads: 'Types of Sudanese Soldiers. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 81'. Five Sudanese men and a young boy pose for the camera, wearing a variety of Egyptian Army military uniforms. All are dressed in fez hats, their uniform varying according to their station.",Sudan,[c.1906],,,,,,,,,,
2001/291/1/2/I/141,Bristol Record Office,British Empire & Commonwealth,Lang Brown,,Mountaineers at the summit of Mount Speke,1 slide,,colour,,"Three mountaineers rest at the summit of Mount Speke in the Rwenzori (Ruwenzori) Mountains. Left to right: James Lang Brown (District Forest Officer. Toro), David Pasteur (Assistant District Commissioner, Toro) and George Webb (Assistant District Officer, Kakamega). Kenya, 26 December 1956. Original caption: Summit of Speke '56. Later caption: The summit of Mt. Speke, Ruwenzori, Uganda, Boxing Day 1956.",Uganda,1956,,,,,,,,,,
2001/090/1/1/31171,Bristol Record Office,British Empire & Commonwealth,Trotter,,Mpanda Post Office,1 negative,,,,Right hand side view of Mpanda Post Office,Tanzania,Sep-59,,,,,,,,,,
1999/221/1/44,Bristol Record Office,British Empire & Commonwealth,Crown Agents,,"Ceylon Railway, Album No. 5",1 volume,,1 volume consisting of 60 pages and containing 60 b/w photographs glued in. There are typed captions.,,"Includes photographs of Ratnapura Railway extension and South Coast line. Also views of bridges, cuttings, station buildings, goods and engine sheds, and a turntable. Markings on spine and cover: Ceylon Photograph Album No. 5",Ceylon Sri Lanka,1909-1910,,,,,,,,,,
1999/221/1/45,Bristol Record Office,British Empire & Commonwealth,Crown Agents,,"Ceylon Railway, Album No. 6",1 volume,,1 volume consisting of 60 pages and containing 60 b/w photographs glued in. There are typed captions.,,"Includes photographs of Negombo extension, Ragama widening, Colombo Staion and Harbour works, Ratnapura extension, and Sea Coast works. Also shots of cuttings, bridges and station buildings. Markings on spine and cover: Ceylon Photograph Album No. 6",Ceylon Sri Lanka,1910-1911,,,,,,,,,,
2002/133/1/1/24,Bristol Record Office,British Empire & Commonwealth,East African Railways & Harbours,,"Panoramic, Nairobi City Centre",1 photograph,,"2 b/w photographs, originally sellotaped together to create the panorama but now detached",,A panoramic photograph from the publicity department of the East African Railways and Harbours Administration (EAR&H) showing Nairobi city centre. Original manuscript caption: Nairobi City - Capital of Kenya,Kenya,c. 1960,,,,,,,,,,
2002/133,Bristol Record Office,British Empire & Commonwealth,East African Railways & Harbours,,East African Railways & Harbours collection,1 box,,,,"The East African Railways & Harbours Corporation operated railways and harbours in Kenya, Tanzania & Uganda. It was established in 1948 for the new East African High Commission by merging the Kenya and Uganda Railways and Harbours with the Tanganyika Railway. As well as this, the company also ran inland shipping services on Lake Victoria, Lake Kyoga, Lake Albert, the Victoria Nile and the Albert Nile. The company was finally dissolved in 1977 after the High Commission's would-be successor, the East African Community, collapsed because of political discrepancies between the governments of Kenya, Uganda and Tanzania. Following this, the East Africa Rail network was broken up into three national railways: Tanzania Railways Limited, Kenya Railways Corporation and Uganda Railways Corporation. The collection, which contains paper archives as well as photographs, was deposited by the editor of the EAR&H pensioners' newsletter ‘The Link’, who obtained the material from other former employees. The photographs are currently the only part of the collection which are catalogued and available for research; further records are scheduled to be added over the course of the next year. These photographs, mainly originating in the EAR&H Publicity Department, include opening ceremonies for new train lines, royal and official visits, trade shows, railway workshops and topographic images of EAR&H buildings. They were taken by EAR&H official photographers as a record, and for the company’s editorial and promotional uses. This catalogue was produced with support from the National Cataloguing Grants Programme for Archives",Kenya Uganda Tanzania Tanganyika,1899 - 1966,,,,,,,,,,
1994/020,Bristol Record Office,British Empire & Commonwealth,Carlin,,Carlin collection,1 folder,,,,"Colin Carlin was brought up in Abercorn, Northern Rhodesia (now Mbala, Zambia). His father John, who had been a journalist and newspaper editor, established a printing business, Lake Press Limited, and started the Abercornucopia, a monthly newspaper devoted to news from the community, in 1962. Colin was educated in Africa and worked in business in the newly independent Zambia until 1973 when he returned to the UK. He has built up a collection of material relating to the history of Abercorn, and runs the website www.abercornucopia.com. The material in this collection consists of magazines and books collected by Mr Carlin in the course of his business career in Zambia, and three photograph albums compiled by the Chandor family of Moshi, Tanzania. The magazines and journals have not yet been catalogued. This catalogue was produced with support from the National Cataloguing Grants Programme for Archives",Tanzania Tanganyika Kenya Northern Rhodesia Zambia,1926-1976,,,,,,,,,,
2003/222,Bristol Record Office,British Empire & Commonwealth,Forster,,Forster collection,2 volumes,,,,"A J Forster served in the Sudan Political Service from around 1907 to 1930. When he retired from this service, he became Estates Bursar at Magdalen College, Oxford. This collection consists of 2 albums of postcards published by G N Morhig, possibly put together to commemorate the official visit of HRH Duke of Connaught to the Sudan around 1906. This catalogue was produced with support from the National Cataloguing Grants Programme for Archives",Sudan,1906,,,,,,,,,,
2002/133/1/1/16,Bristol Record Office,British Empire & Commonwealth,East African Railways & Harbours,,"Nairobi, Junior Housing",1 photograph,,"1 b/w photograph, printed double sided on card",,"Exterior of the Junior bungalows from the reverse side, they have sloped and tiled roofs and chimneys. The plot of land around the building is yet to be gardened. This image also shows the fencing used to seperate the houses. Part of a set of 22 images on card, with photographs printed on both sides, possibly part of a desk calendar or similar. An index card to these 22 images is included. Original caption: Nairobi, Junior Housing",Kenya,c. 1960,,,,,,,,,,
2002/133/1/1/118,Bristol Record Office,British Empire & Commonwealth,East African Railways & Harbours,,"Lion leaning on the back of carriage, Kenya",1 photograph,,1 b/w photograph,,"Image shows a lion stepping up on to the back of the railway carriage and trying to find a way in. The photo is linked to the East African Railways & Harbours/Caltex historical film 'The Permanent Way'', which included the building of the original 'Uganda Railway' from Mombasa to Kisumu (now in Kenya) from 1895 to 1903.",Kenya,c.1961,,,,,,,,,,
2002/133/1/1/12,Bristol Record Office,British Empire & Commonwealth,East African Railways & Harbours,,"Mombasa, Junior Flats",1 photograph,,"1 b/w photograph, printed double sided on card",,"Exterior of the Junior Flat block in Mombasa. The building is centrally framed, detailing its features. It is freshly painted. Part of a set of 22 images on card, with photographs printed on both sides, possibly part of a desk calendar or similar. An index card to these 22 images is included. Original caption: Mombasa, Junior Flats.",Kenya,c. 1960,,,,,,,,,,
2001/090/1/1/31045,Bristol Record Office,British Empire & Commonwealth,Trotter,,Post Office sports competition medal ceremony,1 negative,,,,A European woman presents African athletes with medals at the East Africa Posts and Telecommunications Administration sports day,Kenya,29th August 1959,,,,,,,,,,
2003/071/1/1/2/58,Bristol Record Office,British Empire & Commonwealth,Sitwell,,City walls in Delhi,1 photograph,,"1 sepia photograph, extracted from album and mounted on card",,Cattle-drawn carts laden with hay stand outside the ruined walls in an old part of the city. Original manuscript caption: Part of old Delhi,India,c. 1890,,,,,,,,,,
2001/090/1/1/31044,Bristol Record Office,British Empire & Commonwealth,Trotter,,Post Office sports competition medal ceremony,1 negative,,,,A European woman presents African and Asian athletes with medals at the East Africa Posts and Telecommunications Administration sports day,Kenya,29th August 1959,,,,,,,,,,
AC/C/48/4,Bristol Record Office,Bristol Record Office,,,"Personal letter to Thomas Smyth from his mother, Elizabeth Smyth",,"Personal letter to Thomas Smyth from his mother, Elizabeth Smyth",,,,,,,,19 May 1626.,,,,,,,
43207/9/21/46,Bristol Record Office,Bristol Record Office,,,"Postcard: on Purdown, Ashley Down Orphanage",,"Postcard: on Purdown, Ashley Down Orphanage",,,,,,,,nd [mid 20th century],,,,,,,
2003/222/1/1/57,Bristol Record Office,British Empire & Commonwealth,Forster,,A line of figures with drums and flags are welcoming Ramadan at Khartoum,1 postcard,,1 b/w postcard slotted into photograph pocket on page.,,"Printed caption reads: 'Welcoming ""Ramadan"" Khartoum. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 162'. A group of Sudanese men, dressed in robes and turbans, bear flags and beat drums to celebrate the start of Ramadan, the ninth and holiest month of the Islamic calendar.",Sudan,[c.1906],,,,,,,,,,
2003/222/1/1/58,Bristol Record Office,British Empire & Commonwealth,Forster,,"Sudanese street traders selling silver, Khartoum",1 postcard,,1 b/w postcard slotted into photograph pocket on page.,,"Printed caption reads: 'The Silver Show Khartoum. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 51'. A line of Sudanese street traders, many of them adolescents or children, display a variety of silverware on their stalls.",Sudan,[c.1906],,,,,,,,,,
2017/010/2/26,Bristol Record Office,British Empire & Commonwealth,Chanan,,"Street cattle, Jaiselmer",1 print,,1 colour print,,"Caption reads: Street cattle, Jaiselmer",India,1994-1999,,,,,,,,,,
2017/010/2/34,Bristol Record Office,British Empire & Commonwealth,Chanan,,"Black fishing boat, Kerala",1 print,,1 colour print,,"Caption reads: Black fishing boat, Kerala",India,1994-1999,,,,,,,,,,
2017/010/2/23,Bristol Record Office,British Empire & Commonwealth,Chanan,,"Sadhu, Minakshi temple, Madurai",1 print,,1 colour print,,"Caption reads: Sadhu, Minakshi temple, Madurai",India,1994-1999,,,,,,,,,,
38169/E/12/1/14b.replica,Bristol Record Office,Bristol Record Office,,,Album of photographs of WD & HO Wills male and female employees,,Photograph of WD & HO Wills male employee from album.,,,,,,,,nd [19th century],,,,,,,
2017/010/2/30,Bristol Record Office,British Empire & Commonwealth,Chanan,,"Chillies, Nagaur",1 print,,1 colour print,,"Caption reads: Chillies, Nagaur",India,1994-1999,,,,,,,,,,
43207/9/31/71,Bristol Record Office,Bristol Record Office,,,,1 photograph,Royal Edward leaving the dock for the last time before being torpedoed,,,,,,,,,,,,,,,
43207/9/50/32,Bristol Record Office,Bristol Record Office,,,,1 photograph,Photograph of wounded being taken to Beaufort War Hospital,,,,,,,,,,,,,,,
2000/084/1/1/6/5/230,Bristol Record Office,British Empire & Commonwealth,Wright,,"""Tartao"" caught near Mogadishu",1 photograph,,"1 b/w image, glued into paper booklet.",,"Photograph of a ""tartao"" on a slab, a fish found in the sea around Mogadishu.",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/6/5/231,Bristol Record Office,British Empire & Commonwealth,Wright,,Porcupine blowfish,1 photograph,,"1 b/w image, glued into paper booklet.",,Close-up image of a porcupine blowfish on sand.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/6/5/250,Bristol Record Office,British Empire & Commonwealth,Wright,,Somali boy sitting on dead shark,1 photograph,,"1 b/w image, glued into paper booklet.",,A smiling and waving Somali boy sits on top of a dead shark on a rocky beach.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/6/5/251,Bristol Record Office,British Empire & Commonwealth,Wright,,Part of a dried shark,1 photograph,,"1 b/w image, glued into paper booklet.",,A Somali man stands on a beach holding part of a gutted and dried shark.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/6/5/252,Bristol Record Office,British Empire & Commonwealth,Wright,,"Boy with sea turtles on the beach, Benadir",1 photograph,,"1 b/w image, glued into paper booklet.",,"A young boy sits on top of a sea turtle on a beach in the coastal region of Benadir, Somalia. Another sea turtle lies next to it.",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/6/5/256,Bristol Record Office,British Empire & Commonwealth,Wright,,Kismayo Beach,1 photograph,,"1 b/w image, glued into paper booklet.",,"A European man stands next to the wooden hull of a dhow on the beach at Kismayo, with a Moorish style building in the background.",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/6/5/257,Bristol Record Office,British Empire & Commonwealth,Wright,,"Fishing boat on the beach, Gesira",1 photograph,,"1 b/w image, glued into paper booklet.",,"Close-up of the prow of a fishing boat on the beach at Gesira, Somalia. According to the caption this type of boat is imported from Aden.",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/6/5/271,Bristol Record Office,British Empire & Commonwealth,Wright,,Portrait of a Somali girl,1 photograph,,1 b/w photograph,,"Portrait of a smiling Somali girl, wearing a brightly coloured wrap dress.",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/6/5/295,Bristol Record Office,British Empire & Commonwealth,Wright,,"Palm forest, Zanzibar",1 photograph,,1 b/w photograph,,"Two men stand in a clearing in a pine forest. The reverse of the image bears the stamp of A. G. Gomes & Son, Zanzibar.",Zanzibar,c. 1938,,,,,,,,,,
2000/084/1/1/6/5/305,Bristol Record Office,British Empire & Commonwealth,Wright,,"Carved doorway at House of Wonders, Zanzibar",1 photograph,,1 b/w photograph,,"Carved doorway at the House of Wonders, part of the former Sultan's Palace, Zanzibar. Original manuscript caption: Bait Rajab, house of H.H. Said Hamud.",Zanzibar,c. 1938,,,,,,,,,,
2000/084/1/1/3/1,Bristol Record Office,British Empire & Commonwealth,Wright,,"Wali Soliman, the ""Senior Sheikh of Mogadishu""",1 photograph,,"1 b/w photograph, detached from pages of album",,"Portrait of Wali Soliman, described as the Senior Sheikh of Mogadishu. There are further images of the Sheikh, probably taken on the same occasion, elsewhere in the collection, including a picture of him with his interpreter in 2000/084/1/1/6/1. Original manuscript caption: The Senior Sheikh of Mogadishu",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/101,Bristol Record Office,British Empire & Commonwealth,Wright,,Portrait of a Somali weaver,1 photograph,,1 b/w photograph,,Portrait of a Somali man weaving on a hand loom.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/113,Bristol Record Office,British Empire & Commonwealth,Wright,,Portrait of girl from the Mijjerten tribe,1 photograph,,"1 b/w photograph, detached from pages of album",,"Portrait of a young woman kneeling in front of a screen.The image is from the studios of Foto Parodi, Mogadishu. Original manuscript caption: Unmarried girl of the Mijjerten tribe.",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/114,Bristol Record Office,British Empire & Commonwealth,Wright,,Portrait of a Somali man,1 photograph,,1 b/w photograph,,"Side view of a Somali man with a dagger in his belt. Marked on reverse ""Edizione Frascarolo Felice - Mogadiscio.""",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/116,Bristol Record Office,British Empire & Commonwealth,Wright,,Somali women performing a dance,1 photograph,,"1 b/w photograph, detached from pages of album",,"A group of Somali women perform a song and dance. Original manuscript caption: A women's song and dance, paraffin tins as drums.",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/121,Bristol Record Office,British Empire & Commonwealth,Wright,,Aerial view of Barawa,1 photograph,,1 b/w photograph,,"Aerial view of Barawa, also known as Brava, showing the surrounding coastline and countryside. Original manuscript caption: Brava from the air",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/122,Bristol Record Office,British Empire & Commonwealth,Wright,,Man with shield and spear,1 photograph,,1 b/w photograph,,"Portrait, possibly a postcard, of a Somali man carrying a shield and spear.",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/123,Bristol Record Office,British Empire & Commonwealth,Wright,,Portrait of a young girl,1 photograph,,1 b/w photograph,,"Portrait of a young girl, described in the photographer's stamp as ""Ragazza Bilena"", possibly from Eritrea.",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/14,Bristol Record Office,British Empire & Commonwealth,Wright,,Drawing water from a well,1 photograph,,"1 b/w photograph, detached from pages of album",,"A group of Somali men and women stand around what appears to be a well, as 2 people fill large jars. In a companion photo a camel is sitting next to the well.",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/17,Bristol Record Office,British Empire & Commonwealth,Wright,,Loading a canoe on the Shebelle River,1 photograph,,1 b/w photograph,,"A group of Somalis on the banks of the Shebelle River load a large canoe, possibly a form of water taxi. Page caption: R. Webi Shebelli",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/2,Bristol Record Office,British Empire & Commonwealth,Wright,,Mogadishu street scene,1 photograph,,1 b/w photograph,,View of a quiet street in Mogadishu with old buildings in the background. Page caption: Somalia - Mogadishu 1942,Somalia,1942,,,,,,,,,,
2000/084/1/1/3/20,Bristol Record Office,British Empire & Commonwealth,Wright,,Portrait of two elderly Somali men,1 photograph,,"1 b/w photograph, detached from pages of album",,Two elderly men stand side by side in a quiet street.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/4,Bristol Record Office,British Empire & Commonwealth,Wright,,Street scene with donkeys,1 photograph,,1 b/w photograph,,View of a Somalian street scene with labourers working next to an old building and donkeys in the foreground.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/54,Bristol Record Office,British Empire & Commonwealth,Wright,,Group of Somali women,1 photograph,,1 b/w photograph,,A group of Somali women stand with wicker baskets on their heads.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/57,Bristol Record Office,British Empire & Commonwealth,Wright,,Weaving wicker baskets,1 photograph,,1 b/w photograph,,Two Somali women sit weaving wicker baskets.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/63,Bristol Record Office,British Empire & Commonwealth,Wright,,"Firing pots, Somalia",1 photograph,,1 b/w photograph,,A group of workers build a fire around recently thrown pots. Part of a series showing the process of creating and firing pots.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/82,Bristol Record Office,British Empire & Commonwealth,Wright,,Fighting with sticks,1 photograph,,1 b/w photograph,,"Two groups of people lined up opposite each other fighting with sticks, while onlookers watch from a distance.",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/83,Bristol Record Office,British Empire & Commonwealth,Wright,,Side view of a man blowing a conch,1 photograph,,1 b/w photograph,,Portrait of a Somali man blowing a conch shell.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/84,Bristol Record Office,British Empire & Commonwealth,Wright,,Blowing a horn,1 photograph,,1 b/w photograph,,Side view of a Somali man blowing into a long pipe.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/85,Bristol Record Office,British Empire & Commonwealth,Wright,,Group of women with drums,1 photograph,,1 b/w photograph,,View of a group of women and older girls. Two women in the foreground have drums.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/86,Bristol Record Office,British Empire & Commonwealth,Wright,,Preparation for a bull fight,1 photograph,,1 b/w photograph,,A bull is led through a group of men all carrying sticks.,Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/3/81,Bristol Record Office,British Empire & Commonwealth,Wright,,Group of Somali men with spears and shields,1 photograph,,"1 b/w photograph, detached from pages of album",,"A group of Somali men advance towards the camera carrying spears and shields. This is similar to another image from 2000/084/1/1/6/5 described as a Bimal war dance, Kismayo.",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/4/127,Bristol Record Office,British Empire & Commonwealth,Wright,,View over central Mogadishu,1 photograph,,1 b/w photograph,,"View over central Mogadishu taken from the Cathedral in 1939, showing streets and the harbour. Typescript caption: Mogadiscio - Il Centro visto dalla Cattedrale nel 1939",Somalia,1939,,,,,,,,,,
2000/084/1/1/4/128,Bristol Record Office,British Empire & Commonwealth,Wright,,View over Mogadishu,1 photograph,,1 b/w photograph,,"View over central [Mogadishu], possibly taken from the Cathedral or another high building. The image shows the layout of streets and the sea in the distance.",Somalia,c. 1935,,,,,,,,,,
2000/084/1/1/4/161,Bristol Record Office,British Empire & Commonwealth,Wright,,Boys with a herd of goats,1 photograph,,1 b/w photograph,,Two Somali children tend to a herd of goats on a hillside.,Somalia,c. 1935,,,,,,,,,,
2000/084/1/1/4/29,Bristol Record Office,British Empire & Commonwealth,Wright,,Canoe on the River Juba,1 photograph,,1 b/w photograph,,"A group of men paddle a long canoe along the River Juba. There are several other similar canoes in the background. Typescript caption on ""Governo della Somalia Italiana"" label: Giuba Imbarcazioni locali 1927",Somalia,1927,,,,,,,,,,
